Social Media Provider	App Name	Downloads	Use case Description	Data FlowType I (yes/no)	Data FlowType II (yes/no)	
Alipay	aliexpress	10M+ 	share to alipay;	no	no	
Alipay	B612 Camera&Photo/Video Editor	500M+	share with alipay friends;	no	no	
Alipay	weee-grocery-delivery	500K+ 	alipay payment;	no	no	
Alipay	闲鱼	5B+ (huawei app gallery)	login with alipay account; display user's alipay name; display user's profile image;	yes	yes	
Alipay	夸克	1B+ (huawei app gallery)	login with alipay account; display user's phone number; display user's alipay name; display user's profile image;	yes	yes	
Alipay	高德	9B+ (huawei app gallery)	login with alipay account; display user's profile image;	yes	yes	
Alipay	Ctrip携程	9B+ (huawei app gallery)	login with alipay account;	no	yes	
Alipay	菜鸟	1B+ (huawei app gallery)	band alipay account; 	no	no	
Alipay	飞猪旅行	1B+ (huawei app gallery)	login with alipay account; display user's alipay name; display user's profile image; display phone number; 	yes	yes	
Alipay	UC浏览器	12B+ (huawei app gallery)	login with alipay account; display user's phone number;  display user's profile image;	yes	yes	
Alipay	饿了么	3B+ (huawei app gallery)	login with alipay account; display user's image name; display user's phone number;	yes	yes	
Alipay	哈啰出行	6M+ (huawei app gallery)	login with alipay account; display user's phone number;	yes	yes	
Alipay	钉钉	8B+ (huawei app gallery)	login with alipay account; 	no	no	
Alipay	淘特	4B+ (huawei app gallery)	login with alipay account; display user's taobao name; display user's taobao profile image;	yes	yes	
Alipay	淘票票	240M+ (huawei app gallery)	login with alipay account; display user's taobao name; display user's taobao profile image; display user's gender; display user's birthday; display user's phone number;	yes	yes	
Alipay	盒马	970M+ (huawei app gallery)	login with alipay account; display user's taobao name; display user's taobao profile image; display user's gender;	yes	yes	
Alipay	识货	570M+ (huawei app gallery)	taobao account authorization;	no	yes	
Alipay	苏宁易购	2B+ (huawei app gallery)	login with alipay account; display user's alipay name;	yes	yes	
Alipay	考拉海购	370M+ (huawei app gallery)	login with alipay account; display user's alipay name; display user's profile images; display user's phone number;	yes	yes	
Weibo	马蜂窝	890M+ (huawei app gallery)	login with weibo account; display user's weibo name; display user's profile image;	yes	yes	
Weibo	滴答	57M+ (huawei app gallery)	login with weibo account; display user's weibo name; display user's profile image;	yes	yes	
Weibo	ximalaya	8B+ (huawei app gallery)	login with weibo account; 	no	yes	
Weibo	夸克	1B+ (huawei app gallery)	login with weibo account; display user's weibo name; display user's profile image;	yes	yes	
Weibo	keep	2B+ (huawei app gallery)	login with weibo account; display user's profile image;	yes	yes	
Weibo	汽车之家	2B+ (huawei app gallery)	login with weibo account; 	no	yes	
Weibo	高德地图	9B+ (huawei app gallery)	login with weibo account; display user's weibo name; display user's profile image;	yes	yes	
Weibo	携程	9B+ (huawei app gallery)	login with weibo account; 	no	yes	
Weibo	下厨房	1B+ (huawei app gallery)	login with weibo account; display user's weibo name; display user's profile image;	yes	yes	
Weibo	UC浏览器	12B+ (huawei app gallery)	login with weibo account; display user's weibo name; display user's profile image;	yes	yes	
Weibo	墨迹天气	2B+ (huawei app gallery)	login with weibo account; display user's weibo name; display user's profile image;	yes	yes	
Weibo	网易有道词典	1B+ (huawei app gallery)	login with weibo account; display user's weibo name; display user's profile image;	yes	yes	
Weibo	快看	930M+ (huawei app gallery)	login with weibo account; display user's weibo name; display user's profile image;	yes	yes	
Weibo	网易新闻	2B+ (huawei app gallery)	login with weibo account; 	no	yes	
Weibo	快手	25M+ (huawei app gallery)	login with weibo account; display user's weibo name; display user's profile image;	yes	yes	
Weibo	咪咕视频	835M+ (huawei app gallery)	login with weibo account; 	no	yes	
Weibo	豆瓣	400M+ (huawei app gallery)	login with weibo account; display user's weibo name;	yes	yes	
Weibo	小红书	12B+ (huawei app gallery)	login with weibo account; 	no	yes	
Weibo	b612咔叽	1B+ (huawei app gallery)	login with weibo account;	no	yes	
